School-High,School-Elementary,School-Alternative,School-Junior High/Middle,School-College or University,School-K-12,School-Other Facility
Interlake,Ardmore,Transition Academy,Highland,Lake Washington IT,Bear Creek,Admin
Issaquah High,Issaquah Valley,Gibson Ek,Issaquah Middle,Bellevue College,Renton Christian,Admin
Blanchet,Daniel Bagley,Licton Springs,Robert Eagle Staff,North Seattle College,Shoreline Christian,Stadium/Athletic Office
Tahoma High,Glacier Park,Phoenix Academy,Summit Trail,GRC,Muckleshoot Tribal,Admin
Raisbeck Aviation,Dearborn Park Intl,Interagency Academy,Aki Kurose,SSC Georgetown,Bush,John Stanford Center
West Auburn,Evergreen Heights,Open Doors,Kilo,Green R Coll - Auburn,Internet Academy,Admin Annex
Ballard,Viewlands ,Licton Springs,Whitman,North Seattle College,Shoreline Christian,Shoreline Childrens Center
Blanchet,Daniel Bagley,Licton Springs,Robert Eagle Staff,North Seattle College,Shoreline Christian,Stadium/Athletic Office
Rainier Beach,Lakeridge,Secondary Learning,Dimmit,City University,Renton Christian,Admin
Raisbeck Aviation,Hilltop,Arts & Academics Academy,Showalter,SSC Georgetown,Renton Christian,Admin
Franklin,Thurgood Marshall,HRS,Seattle Girls,Seattle U,Bush,John Stanford Center
Shorewood,Syre ,Fircrest,Einstein,Shoreline CC,Kings ,Shoreline Childrens Center
Inglemoor,Henry David Thoreau,Environmental and Adventure,Finn Hill,Bastyr,Cedar Park Christian,Transportation
Blanchet,Viewlands ,Licton Springs,Whitman,North Seattle College,Shoreline Christian,Shoreline Childrens Center
South Lake,South Shore,Orca,Aki Kurose,SSC Georgetown,Renton Christian,Admin
Redmond High,Horace Mann,Overlake,Redmond Middle,Lake Washington IT,Bear Creek,Admin
Bellevue Christian,Sacred Heart,International,Chinook,Seattle U Eastside ,Bush,Mot
Rainier Beach,Lakeridge,Secondary Learning,Dimmit,City University,Renton Christian,Transportation/Maintenance
Decatur,Twin Lakes,Federal Way Public Academy,Lakota,Highline College,Christian Faith,Federal Way Memorial Field
Ballard,West Woodland,Cascadia,Billings,North Seattle College,Bush,Stadium/Athletic Office
Mount Si ,Cascade View,Two Rivers,Chief Kanim,Bellevue College,Bear Creek,Admin
Auburn Adventist,Buena Vista SDA,Phoenix Academy,Mt. Baker,Muckleshoot Tribal ,Muckleshoot Tribal,Admin Center
Issaquah High,Issaquah Valley,Gibson Ek,Issaquah Middle,Bellevue College,Renton Christian,Admin
Redmond High,Albert Einstein,Overlake,Evergreen,Lake Washington IT,Bear Creek,Admin
Issaquah High,Grand Ridge,Gibson Ek,Pacific Cascade,Bellevue College,Bear Creek,Admin
Ballard,St. Alphonsus,Salmon Bay,Whitman,Seattle Pacific U,Bush,Stadium/Athletic Office
Federal Way,Wildwood,Open Doors,Kilo,Green R Coll - Auburn,Internet Academy,Admin
Federal Way,Wildwood,Truman Campus,Sacajawea,Green R Coll - Auburn,Holy Innocents,Federal Way Memorial Field
Bothell,Kenmore,Soreson,Kenmore Jr High,Bastyr,Shoreline Christian,Aldercrest Learning Center
Nathan Hale,John Rogers ,Cedar Park,Jane Addams,Bastyr,Shoreline Christian,Transportation
Ballard,St. Alphonsus,Salmon Bay,Whitman,Seattle Pacific U,Bush,Stadium/Athletic Office
Seattle Prep ,St. Anne,Queen Anne,Worth McClure,WA Academy of Languages,Bush,Stadium/Athletic Office
Forest Ridge High,Eastgate,FISW,Hillside ,Bellevue College,Renton Christian,Admin
Lindbergh,Renton Park,Renton Academy,Nelson,City University,Renton Christian,Admin
Ingraham,Christ the King,Middle College at Northgate,Robert Eagle Staff,North Seattle College,Shoreline Christian,Shoreline Childrens Center
Forest Ridge High,Newport Heights,Jing Mei,Risdon,Bellevue College,Renton Christian,Admin
Cedarcrest,East Ridge,Eagle Rock,Timbercrest,Lake Washington IT,Bear Creek,Support Service Center
Seattle Prep ,John Hay,Queen Anne,Worth McClure,WA Academy of Languages,Bush,Stadium/Athletic Office
Issaquah High,Timber Ridge,Gibson Ek,Chief Kanim,Bellevue College,Bear Creek,Echo Glen
Mount Rainier,Sunnycrest,ACE,Pacific,Highline College,Mountain View,Transportation
Blanchet,Daniel Bagley,Licton Springs,Robert Eagle Staff,North Seattle College,Shoreline Christian,Transportation
Blanchet,St. John,Licton Springs,Robert Eagle Staff,North Seattle College,Shoreline Christian,Stadium/Athletic Office
Ballard,Pacific Crest,Cascade PPP,Alexander Hamilton Intl,WA Academy of Languages,Bush,Stadium/Athletic Office
Federal Way,Wildwood,Truman Campus,Sacajawea,Green R Coll - Auburn,Internet Academy,Admin
Forest Ridge High,Somerset,Jing Mei,Forest Ridge,Bellevue College,Renton Christian,Admin
U Prep,Northwest Montessori,Thornton Creek,Nathan Eckstein,UW,Bush,Stadium/Athletic Office
Lindbergh,Renton Park,Renton Academy,Meeker,City University,Renton Christian,Admin
Hazen,Newcastle,Jing Mei,Risdon,Renton Tech,Renton Christian,Transportation/Maintenance
Decatur,Olympic View,Federal Way Public Academy,Lakota,Highline College,Christian Faith,Federal Way Memorial Field
Enumclaw High,Byron Kibler,Phoenix Academy,Thunder Mountain,GRC,Muckleshoot Tribal,Enumclaw Admin
Liberty,Briarwood,Renton Academy,Maywood,Renton Tech,Renton Christian,Transportation/Maintenance
New Start,Hazel Valley,Arts & Academics Academy,Cascade,SSC Georgetown,Seattle Christian,Highline Arts
Juanita,Helen Keller,Futures,Kamiakin,Lake Washington IT,Cedar Park Christian,Support Service Center
Skyline,Discovery,Renaissance,Inglewood,Lake Washington IT,Bear Creek,Admin
Inglemoor,Moorlands,Environmental and Adventure,Finn Hill,Bastyr,Cedar Park Christian,Transportation
Issaquah High,Maple Hills,Gibson Ek,Maywood,Renton Tech,Renton Christian,Maint
Juanita,John Muir,WANIC,Kamiakin,Lake Washington IT,Woodinville Montessori,Support Service Center
Mount Rainier,Des Moines,Big Picture,Pacific,Highline College,Mountain View,Transportation
Forest Ridge High,Cougar Ridge,FISW,Hillside ,Bellevue College,Renton Christian,Admin
Juanita,Carl Sandburg,Discovery Community,Finn Hill,Bastyr,Cedar Park Christian,Support Service Center
Lakeside High,Parkwood,Fircrest,Lakeside Middle,Shoreline CC,Shoreline Christian,Shoreline Childrens Center
John F. Kennedy,Hazel Valley,Arts & Academics Academy,Sylvester,SSC Georgetown,Seattle Christian,Highline Arts
Decatur,Brigadoon,Federal Way Public Academy,TAFA at Saghalie,Highline College,Christian Faith,Federal Way Memorial Field
Shorewood,Echo Lake,Fircrest,Einstein,Shoreline CC,Kings ,Shoreline Childrens Center
Adventist Academy,Cherry Crest,Emerson K-12,Rose Hill Middle,Northwest University,Bush,Admin
Forest Ridge High,Cougar Ridge,FISW,Hillside ,Bellevue College,Renton Christian,Admin
Seattle Academy,Bailey Gatzert,Seattle World,LWGMS,Seattle U,Bush,Stadium/Athletic Office
Puget Sound Comm,Beacon Hill,HRS,Washington,Seattle U,Bush,John Stanford Center
Garfield,Bailey Gatzert,Seattle World,LWGMS,Seattle U,Bush,Stadium/Athletic Office
Enumclaw High,Byron Kibler,Phoenix Academy,Enumclaw Middle,GRC,Muckleshoot Tribal,Enumclaw Admin
Ingraham,Broadview-Thomson,Middle College at Northgate,Lakeside Middle,Shoreline CC,Shoreline Christian,Shoreline Childrens Center
Mountainview,Pine Tree,Phoenix Academy,Rainier,GRC,Holy Innocents,Admin
Chief Sealth,Our Lady of Guadalupe,Louisa Boren,David T. Denny Intl,South Seattle College,Bush,John Stanford Center
Juanita,Alexander Graham Bell,Futures,Kirkland,Lake Washington IT,Cedar Park Christian,Support Service Center
Tahoma High,Lake Wilderness,Phoenix Academy,Summit Trail,GRC,Muckleshoot Tribal,Admin
Redmond High,Albert Einstein,Overlake,Redmond Middle,Lake Washington IT,Bear Creek,Support Service Center
Adventist Academy,Kirkland Seventh-day Adventist,International Community,Rose Hill Middle,Northwest University,Bush,Support Service Center
Decatur,Olympic View,Federal Way Public Academy,Lakota,Highline College,Christian Faith,Federal Way Memorial Field
Eastlake,Margaret Mead,Renaissance,Inglewood,Lake Washington IT,Bear Creek,Admin
Seattle Prep ,B.F. Day,Cascadia,Alexander Hamilton Intl,WA Academy of Languages,Bush,Stadium/Athletic Office
Lake Washington,Benjamin Rush,Stella Schola,Rose Hill Middle,Northwest University,Bear Creek,Admin
Juanita,Helen Keller,Futures,Kamiakin,Lake Washington IT,Cedar Park Christian,Support Service Center
Lindbergh,Cascade,Renton Academy,Nelson,City University,Renton Christian,Admin
NW Yeshiva,Island Park,Crest Learning Center,Islander,Bellevue College,Renton Christian,Admin
Shorewood,Meridian Park,Fircrest,Einstein,Shoreline CC,Kings ,Shoreline Childrens Center
Shorecrest,Briarcrest,Fircrest,Kellogg,Bastyr,Shoreline Christian,Transportation
Todd Beamer,Enterprise,Federal Way Public Academy,Illahee,Green R Coll - Auburn,Christian Faith,Admin
Franklin,St. George,Grover Cleveland,Asa Mercer,SSC Georgetown,Bush,John Stanford Center
Seattle Lutheran,Fairmount Park,Louisa Boren,David T. Denny Intl,South Seattle College,Bush,John Stanford Center
Mount Si ,Timber Ridge,Gibson Ek,Chief Kanim,Bellevue College,Bear Creek,Echo Glen
Tahoma High,Tahoma Elementary,Gibson Ek,Summit Trail,Renton Tech,Renton Christian,Maint
Hazen,Kennydale,Secondary Learning,McKnight,Renton Tech,Renton Christian,Transportation/Maintenance
Kent-Meridian,Martin Sortun ,Phoenix Academy,Meridian,GRC,Mountain View,Admin
Ballard,Adams,Salmon Bay,Whitman,Seattle Pacific U,Shoreline Christian,Stadium/Athletic Office
Decatur,Brigadoon,Federal Way Public Academy,TAFA at Saghalie,Highline College,Christian Faith,Admin
Hazen,Maplewood Heights,Renton Academy,Maywood,Renton Tech,Renton Christian,Transportation/Maintenance
NW Yeshiva,Lakeridge,Crest Learning Center,Islander,Renton Tech,Renton Christian,Admin
Redmond High,Norman Rockwell,Transition Academy,Redmond Middle,Lake Washington IT,Bear Creek,Support Service Center
West Seattle,Lafayette,Pathfinder,James Madison,South Seattle College,Bush,John Stanford Center
Highline,Gregory Heights,Skills Center,Sylvester,Highline College,Seattle Christian,Admin
Blanchet,Christ the King,Licton Springs,Robert Eagle Staff,North Seattle College,Shoreline Christian,Shoreline Childrens Center
