num_cultural_spaces,id
4,9510920070.0
3,5468730030.0
2,8079030390.0
74,600000152.0
2,1840000030.0
14,3225069065.0
194,3260800030.0
2,2747100024.0
0,5104530560.0
121,4330600350.0
4,5016001535.0
262,7280300196.0
9,8651520400.0
157,7171200445.0
0,3204800200.0
0,3416600800.0
0,7994700030.0
31,1860600135.0
1,4139480200.0
211,4139480200.0
14,1328320800.0
15,7771300125.0
11,3422059208.0
1,9521101455.0
0,4337000335.0
7,325059286.0
7,2597650240.0
6,3353400435.0
200,7972000240.0
14,7520000520.0
10,7520000520.0
79,3530210260.0
5,1959700550.0
7,1665400045.0
181,9542850320.0
8,3179100060.0
2,2946001550.0
10,8078490390.0
141,9550201550.0
15,191100045.0
8,5009600070.0
6,200350070.0
2,2877103726.0
36,405100295.0
2,4268200055.0
2,3126069068.0
11,1115300070.0
11,6414100671.0
0,7004200060.0
3,7852110140.0
10,3969300030.0
0,3969300030.0
7,4048400070.0
4,808000070.0
153,7374200030.0
6,7325600160.0
70,2757000030.0
4,616000140.0
6,3363900111.0
10,9262800171.0
40,6607000126.0
1,5416510830.0
2,2201500030.0
7,325059171.0
15,952003285.0
9,3211290370.0
0,1072010350.0
13,8856950070.0
4,925059078.0
11,7855801090.0
8,723099065.0
1,6116500075.0
11,1118500030.0
11,424069250.0
4,3291800710.0
8,6838700060.0
1,2231500030.0
30,2231500030.0
5,7683900200.0
153,8155830060.0
290,98020310.0
11,9423400140.0
2,1545804860.0
6,2883200160.0
4,7132300695.0
5,1726059053.0
4,624111000.0
9,808300310.0
3,8563040160.0
7,713500030.0
9,8651600160.0
35,9517200030.0
6,2460700700.0
0,1223039290.0
12,2890100060.0
8,7972600860.0
11,8857320070.0
5,4047200695.0
6,1653500070.0
79,1923000030.0
0,3649100320.0
351,7375300160.0
2,5175800060.0
86,1604601375.0
7,2473251090.0
7,9126100861.0
22,3420069065.0
188,6021501685.0
11,1151100070.0
3,8856950240.0
6,9385200055.0
1,7821200390.0
2,8078520310.0
6,1565950030.0
10,1560930070.0
7,6700400140.0
7,2422029094.0
0,1774220160.0
23,1525200060.0
6,1678400105.0
1,3426059070.0
121,824079032.0
9,2697100140.0
3,8724300030.0
1,8678500060.0
364,625049299.0
4,6073200075.0
13,6388900710.0
6,1442860160.0
4,7942600310.0
2,1545808560.0
2,936000060.0
4,9808650060.0
168,3754700160.0
3,305500140.0
11,5468750060.0
8,2944010240.0
4,3454000060.0
13,646910160.0
155,8564950390.0
8,2268400350.0
0,7504101040.0
1,11500890.0
80,9528102772.0
0,284000223.0
1,3353401710.0
5,8159610030.0
2,3179100435.0
12,822079033.0
5,8857600960.0
8,1774000200.0
8,2024069128.0
9,1049010390.0
4,7905370390.0
2,4140090240.0
6,4055700030.0
10,3775300030.0
7,2525300030.0
2,1324059104.0
9,2287000030.0
4,7702010030.0
3,1529200340.0
3,2122039094.0
0,1742800030.0
3,1796360350.0
11,6154500070.0
2,1843100340.0
21,8944290160.0
3,4166600473.0
18,7282300125.0
7,8658300340.0
8,2419600075.0
3,2621760350.0
14,1723049270.0
3,4123840310.0
8,2172000075.0
3,8651611170.0
77,8820902200.0
48,8651610890.0
36,1853080570.0
15,3629920030.0
6,1604602050.0
1,6844700810.0
25,66000070.0
17,6665800030.0
7,2205700350.0
2,5466000030.0
3,6189200125.0
1,9169600135.0
1,2625069070.0
17,8732131090.0
9,9286000240.0
4,
6,8691370400.0
4,5423010350.0
290,8562501040.0
25,2475200140.0
1,7942100310.0
24,3760000030.0
2,1727500340.0
2,9828702519.0
92,4432600075.0
2,7806300030.0
15,9274202270.0
3,7852030960.0
5,7852170140.0
143,7518503335.0
29,5467900070.0
128,1245002952.0
17,8906200070.0
6,5379805885.0
2,2769600560.0
1,9238901420.0
20,5113400431.0
28,3885805665.0
22,8121200810.0
8,5126310400.0
17,7322910030.0
78,2827100070.0
0,9276201895.0
2,4402700070.0
8,1922059046.0
14,925059288.0
9,4386700135.0
13,1923069078.0
23,1432400335.0
2,1180003090.0
1,726049331.0
29,3340401555.0
4,7453000070.0
4,4348800030.0
6,7202331420.0
7,3225079035.0
5,6381500700.0
3,339500160.0
1,1545807610.0
11,1843200240.0
189,4403600270.0
2,2008200060.0
4,1521069070.0
5,2459500310.0
8,6204420070.0
0,5694500105.0
8,5466410030.0
0,9485740340.0
4,622049114.0
0,2270000070.0
19,1310900260.0
1,224069094.0
7,7800800160.0
7,2944000240.0
24,4139400710.0
18,7899800860.0
9,2473420140.0
7,5000500055.0
2,4099500935.0
9,1373800295.0
4,4025300135.0
6,3294700310.0
4,8718500075.0
8,4309710240.0
0,5486800070.0
82,236400320.0
8,4376700570.0
10,8648100200.0
1,3624079046.0
11,1921069084.0
113,6431500140.0
201,2725069050.0
0,5307100060.0
2,7203102050.0
1,561000075.0
90,2436701180.0
316,809002765.0
1,4045500710.0
1,5104510270.0
5,98020350.0
0,1714900060.0
10,1189000030.0
3,2473360060.0
8,222069082.0
4,8669160310.0
25,1526069135.0
8,1088650310.0
0,8945200860.0
5,7853240200.0
359,7511800070.0
2,2998800125.0
6,3876300310.0
140,5419800510.0
8,192460060.0
3,7942601895.0
4,7504010570.0
9,1442740140.0
11,6909200575.0
39,
8,3620069036.0
4,2781280390.0
6,9542830350.0
0,1123049053.0
0,8018600765.0
3,3278600240.0
11,7846200070.0
3,662310400.0
4,8651100140.0
191,8682250350.0
55,3211230260.0
5,4233400340.0
12,7199350340.0
78,3904901710.0
34,240000058.0
2,6865200444.0
9,9498200046.0
2,1796380960.0
34,5631500868.0
14,3126049411.0
5,2321300390.0
1,3905040800.0
10,4379400260.0
0,5115000160.0
35,2826049234.0
12,6600700030.0
99,3904930240.0
61,9407110700.0
12,1682500160.0
260,8078570390.0
25,3010300240.0
63,9500900135.0
2,461001615.0
9,6411600069.0
63,7812800565.0
4,7548300731.0
8,8925100390.0
173,7010700292.0
11,9485951170.0
9,5437820310.0
6,582000135.0
0,3204800370.0
26,8832900550.0
30,9550204515.0
1,7199330390.0
9,6131600060.0
22,5379805460.0
8,7212652180.0
6,6379500640.0
29,4315700060.0
128,3329500060.0
7,4140090320.0
6,9385200045.0
14,7852180340.0
5,1545804340.0
24,2490200320.0
37,2218000335.0
8,922049078.0
15,2586800270.0
10,4338800370.0
23,7214700350.0
7,3226200105.0
22,2324039036.0
6,7849202231.0
11,5196410260.0
10,3760500116.0
36,2985800030.0
6,259900160.0
3,708000030.0
69,192460310.0
86,9412200260.0
5,1062100116.0
78,6798100662.0
108,1775920350.0
86,2525500260.0
4,6145600041.0
177,3300701615.0
0,5151600340.0
14,7613700521.0
8,2710600045.0
12,5101405124.0
18,6067910030.0
6,1959701890.0
0,1402200340.0
2,3558900070.0
2,7846700310.0
67,3348401740.0
100,3013300288.0
4,7852070060.0
5,5029450160.0
6,3526069070.0
47,5104540240.0
6,3438500486.0
10,5102400105.0
5,2346200030.0
0,1321710030.0
71,7853290030.0
1,1566100400.0
3,1775800800.0
2,9133600075.0
5,5450900060.0
4,1402600700.0
19,8024200350.0
59,3121500340.0
20,7697870860.0
13,7527200030.0
130,2013200390.0
9,766500030.0
3,6664000030.0
9,9349900105.0
9,1895000045.0
2,6205500030.0
1,7011200260.0
2,41000454.0
0,7203600550.0
6,9477200560.0
4,4022907770.0
11,5231000060.0
2,6055000310.0
26,3216900060.0
20,7967200060.0
20,8077210350.0
3,7203000640.0
7,2988000070.0
94,3832200070.0
20,3670500710.0
14,8820903380.0
9,8820903380.0
1,4233400400.0
4,3793500550.0
24,6431000270.0
4,2225059214.0
3,7694800270.0
8,2171400197.0
1,2473400340.0
6,3530490070.0
10,1932300075.0
6,2525000510.0
1,1853000510.0
62,1742800060.0
4,2723089104.0
74,2619950350.0
1,4021100045.0
8,731500200.0
72,2591820310.0
3,3626039299.0
3,9346980140.0
86,6613000140.0
12,8159610060.0
25,7830800339.0
8,1588600045.0
52,826069046.0
4,1771000890.0
27,3300701170.0
31,7340500270.0
88,9277200111.0
1,293720140.0
52,579003610.0
4,1138020200.0
