nearest_hoods,dist_hoods
Eastgate Neighborhood,5.115423065133929
White Center Neighborhood,0.3373260867548935
Kent East Hill Neighborhood,6.519901286142518
Greenwood Neighborhood,0.6332969968183849
Kent East Hill Neighborhood,3.594508528245504
Fairwood Neighborhood,2.1032703532805512
"Covington, Timberlane Neighborhood",19.86950695649927
Rainier Valley Neighborhood,0.48273903196274137
Kent East Hill Neighborhood,1.8789453107159289
Maple Leaf Neighborhood,0.6347280055212922
White Center Neighborhood,0.8356246943873372
Fairwood Neighborhood,2.1043691489778267
"Covington, Timberlane Neighborhood",16.766217567957487
Kingsgate Neighborhood,3.595769515558812
Central District,1.1770067475167323
Kent East Hill Neighborhood,5.296200857458607
Eastgate Neighborhood,5.144962709087188
Mount Baker Neighborhood,0.9260921094631952
White Center Neighborhood,5.182434850715326
Kent East Hill Neighborhood,2.637380758537443
Harbor Island Neighborhood,1.2435054659849007
Wedgewood Neighborhood,0.3054163318343983
Twin Lakes Neighborhood,1.5245581064339082
Central District,3.796564378839966
Kingsgate Neighborhood,6.212527603285999
Bitter Lake Neighborhood,0.8814299529226438
Twin Lakes Neighborhood,3.373618015691547
Skyway Neighborhood,1.3169241809389394
Ballard Neighborhood,0.8681141260017579
Fairwood Neighborhood,2.214257054950172
Fairwood Neighborhood,1.5805331952610866
Finn Hill Neighborhood,2.7936610069194803
"Covington, Timberlane Neighborhood",2.4130841469213142
Rainier Valley Neighborhood,0.7843573453777206
Kent East Hill Neighborhood,1.5897070277729428
Rainier Beach Neighborhood,1.2820878190314238
Central District,0.7456652744205612
Kingsgate Neighborhood,7.8133536015446605
Finn Hill Neighborhood,1.4597163184617248
Kent East Hill Neighborhood,1.748688742595511
North Creek Neighborhood,1.5882049730458925
Kingsgate Neighborhood,1.131047373666604
Newport Hills Neighborhood,1.3446791651433456
Eastgate Neighborhood,0.35308467592521503
White Center Neighborhood,6.188156493804423
Finn Hill Neighborhood,1.054562234057187
Kent East Hill Neighborhood,3.6394302248852877
Newport Hills Neighborhood,0.6892239982734865
Admiral Neighborhood,0.8485087184450976
Eastgate Neighborhood,5.916075507374402
"Covington, Timberlane Neighborhood",1.738317569129808
Renton Highlands Neighborhood,1.2057039140370942
Beacon Hill Neighborhood,0.3035410805360879
Skyway Neighborhood,3.6646806872935778
Eastgate Neighborhood,3.592593686780687
Kent East Hill Neighborhood,4.907447049181696
North Beach Neighborhood,0.58563896411828
"Covington, Timberlane Neighborhood",5.0391142357637895
White Center Neighborhood,2.9655588995603157
Central District,0.38955403042416176
Bitter Lake Neighborhood,3.9822298547971515
Eastgate Neighborhood,6.175387057083503
Wedgewood Neighborhood,0.5521411439936676
Newport Hills Neighborhood,0.8442120734802558
Mount Baker Neighborhood,1.201618096698004
Eastgate Neighborhood,14.534534613233863
Queen Anne Neighborhood,0.836158776486303
Eastgate Neighborhood,2.5382228818005728
Eastgate Neighborhood,2.5382228818005728
Fairwood Neighborhood,1.3662205728805419
Bitter Lake Neighborhood,1.3566251661371214
"Covington, Timberlane Neighborhood",2.465070302679212
Wallingford Neighborhood,0.5507826321597461
White Center Neighborhood,2.7143968714487494
Kingsgate Neighborhood,3.9921932556714053
Eastgate Neighborhood,5.6909141541361565
Twin Lakes Neighborhood,7.490657190304921
Twin Lakes Neighborhood,1.8471635130544153
White Center Neighborhood,1.4989694574400039
White Center Neighborhood,1.4989694574400039
North Creek Neighborhood,3.9420144573633347
University District,1.2239309163850194
White Center Neighborhood,3.1682381951725263
Eastgate Neighborhood,1.6096208060213937
Wedgewood Neighborhood,0.8512427354300891
Skyway Neighborhood,6.24524479894295
"Covington, Timberlane Neighborhood",12.363290836045069
Wallingford Neighborhood,0.38186173424538533
Newport Hills Neighborhood,2.0092803172063074
"Covington, Timberlane Neighborhood",2.682995701790636
North Creek Neighborhood,0.6074042312011007
Greenwood Neighborhood,0.7774114260453763
Bitter Lake Neighborhood,2.0925906954029814
Bryn Mawr Neighborhood,0.37628989931540857
Kingsgate Neighborhood,4.6043276592183116
Renton Highlands Neighborhood,1.693880981393157
Northgate Neighborhood,0.9523812454928146
Twin Lakes Neighborhood,6.365059869708006
Eastgate Neighborhood,12.677725674741417
Skyway Neighborhood,0.08058356974004584
Skyway Neighborhood,0.08058356974004584
Fairwood Neighborhood,3.987887983231663
Kent East Hill Neighborhood,1.680696065222406
Lake City Neighborhood,3.6357774865199732
Eastgate Neighborhood,15.001590216155694
Newport Hills Neighborhood,2.118713764484975
Skyway Neighborhood,6.948512617227099
Greenwood Neighborhood,0.7397199566732718
Kent East Hill Neighborhood,5.277868476478288
Rainier Valley Neighborhood,0.28523219195039706
"Covington, Timberlane Neighborhood",3.442947561965513
Eastgate Neighborhood,0.17652898218058838
Kingsgate Neighborhood,3.0132708763768994
West Seattle Neighborhood,0.38079088886733004
Eastgate Neighborhood,8.800062714629178
Fairwood Neighborhood,2.252940187512989
"Covington, Timberlane Neighborhood",4.099538263735195
Sand Point Neighborhood,3.7454935828566027
Newport Hills Neighborhood,1.2749177954718325
"Covington, Timberlane Neighborhood",20.59655540823118
White Center Neighborhood,4.604170810023816
Eastgate Neighborhood,7.196690326974741
Eastgate Neighborhood,4.774079402052765
Renton Highlands Neighborhood,0.9496215629526065
Renton Highlands Neighborhood,0.8252382569476004
Bitter Lake Neighborhood,3.375764321200095
Bitter Lake Neighborhood,3.375764321200095
Twin Lakes Neighborhood,3.2399960251096314
Renton Highlands Neighborhood,0.5144191212122298
Eastgate Neighborhood,7.971225643492654
Lake City Neighborhood,0.45367603747366214
"Covington, Timberlane Neighborhood",2.938420388677654
Green Lake Neighborhood,0.2893533781991189
Mount Baker Neighborhood,0.872184774414098
Kingsgate Neighborhood,1.3651120428288777
Kingsgate Neighborhood,5.381973414295419
