X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR,FEATUREDES,OSPI_CODE
-122.389009548993016,47.6863854724973,142,1011,12292,School-Elementary,Loyal Heights Elementary School,Loyal Heights,2511 NW 80th St,98117,-122.38901094,47.6863838,10,SEATTLE,4443801580,444380,1580,School-Elementary,0
-122.10358246712893,47.375852370216514,143,564,666111,School-Elementary,Crestwood Elementary School,Crestwood,25225 180th Ave SE,98042,-122.10358535,47.37585008,10,KENT,2422059063,242205,9063,School-Elementary,4126
-122.300002984638567,47.335716991854007,144,6600142,695180,School-K-12,Holy Innocents School of the Northwest,Holy Innocents,2530 S 298th St,98003,-122.30000612,47.33571514,20,FEDERAL WAY,7683800032,768380,0032,School-K-12,0
-122.300691733899129,47.7730846088117,145,6600298,16145,School-Other Facility,Aldercrest Learning Center,Aldercrest Learning Center,2545 NE 200th St,98155,-122.30069277,47.77308288,10,SHORELINE,4022900853,402290,0853,School-Other Facility,0
-122.119310297828164,47.370023938119452,146,571,662995,School-High,Kentwood High School,Kentwood,25800 164th Ave SE,98042,-122.11931322,47.37002169,10,KENT,2522059006,252205,9006,School-High,4128
-122.366191029086963,47.528890711330362,147,6600437,509368,School-High,Chief Sealth International High School,Chief Sealth,2600 SW Thistle St ,98126,-122.36619312,47.52888891,10,SEATTLE,3624039032,362403,9032,School-High,3096
-122.366052898593423,47.531352180495162,148,6600702,1005283,School-Junior High/Middle,David T. Denny International Middle School,David T. Denny Intl,2601 SW Kenyon St,98126,-122.36605498,47.53135038,10,SEATTLE,3624039032,362403,9032,School-Junior High/Middle,
-122.197441463352817,47.456404303379003,149,687,12199,School-Alternative,Renton Academy,Renton Academy,2607 Jones Ave S,98055,-122.19744391,47.45640223,10,RENTON,2923059061,292305,9061,School-Alternative,0
-122.350385664957827,47.643631686765644,150,932,422342,School-Elementary,Seattle Country Day School,Seattle Country Day,2619 4th Ave N,98109,-122.35038725,47.64362992,20,SEATTLE,1929300110,192930,0110,School-Elementary,0
-122.102875000174905,47.366666866528512,151,6600689,675501,School-High,Rainier Christian High School,Rainier Christian,26201 180th Ave SE,98042,-122.10287793,47.36666458,20,KENT,2522059092,252205,9092,School-High,
-122.387002927298909,47.57989805396474,152,995,470929,School-Elementary,Lafayette Elementary School,Lafayette,2645 California Ave SW,98116,-122.38700479,47.57989631,10,SEATTLE,9277200005,927720,0005,School-Elementary,2733
-122.08566544113873,47.364758207614585,153,560,666235,School-Elementary,Cedar Valley Elementary School,Cedar Valley,26500 Timberlane Way SE,98042,-122.08566838,47.36475588,10,KENT,3022069050,302206,9050,School-Elementary,3676
-122.281827868316711,47.36280307804266,154,441,8606,School-Junior High/Middle,Totem MIddle School,Totem,26630 40th Ave S,98032,-122.28183085,47.36280119,10,FEDERAL WAY,2722049152,272204,9152,School-Junior High/Middle,3431
-121.982123873964767,47.747195179702892,155,276,193,School-Elementary,Cherry Valley Elementary School,Cherry Valley,26701 NE Cherry Valley Rd,98019,-121.98212477,47.74719287,10,RIVERVIEW,1326069028,132606,9028,School-Elementary,3101
-122.094474171852767,47.360372214680289,156,569,170,School-Elementary,Jenkins Creek Elementary School,Jenkins Creek,26915 186th Ave SE,98042,-122.09447714,47.36036991,10,KENT,3022069029,302206,9029,School-Elementary,4301
-122.128468204621527,47.634431228761798,157,10000021,98990,School-Elementary,Eton School,Eton,2701 BelRed Rd,98008,-122.12846975,47.63442906,10,BELLEVUE,0673100096,067310,0096,School-Elementary,0
-122.297039239277908,47.599536898367838,158,6600719,838330,School-Junior High/Middle,Seattle Girls School,Seattle Girls,2706 S Jackson St,98144,-122.29704102,47.59953503,20,SEATTLE,7833800025,783380,0025,School-Junior High/Middle,
-122.297730323120291,47.742242592398235,159,1219,16167,School-Elementary,Briarcrest Elementary School,Briarcrest,2715 NE 158th St,98155,-122.29773147,47.74224075,10,SHORELINE,1199100005,119910,0005,School-Elementary,0
-122.182337670288248,47.495498103721985,160,1302,586328,School-Elementary,Highlands Elementary School,Highlands,2720 NE 7th St,98056,-122.18233989,47.49549599,10,RENTON,7227502510,722750,2510,School-Elementary,2640
-122.2971139472684,47.690550571973034,161,6600006,347544,School-Elementary,Wedgewood Elementary School,Wedgewood,2720 NE 85th St ,98115,-122.29711532,47.69054872,10,SEATTLE,0439000615,043900,0615,School-Elementary,3026
-122.367966949986055,47.498734494210254,162,1203,134,School-Elementary,Shorewood Elementary School,Shorewood,2725 SW 116th St,98146,-122.36796918,47.49873268,10,HIGHLINE,1842000190,184200,0190,School-Elementary,2842
-122.15193933714265,47.353784259819662,163,567,660039,School-Elementary,Horizon Elementary School,Horizon,27641 144th Ave SE,98042,-122.15194235,47.35378209,10,KENT,3422059036,342205,9036,School-Elementary,4345
-122.195757898272504,47.353353248220017,164,6600277,669375,School-Elementary,Meadow Ridge Elementary School,Meadow Ridge,27710 108th Ave SE,98030,-122.19576093,47.35335118,10,KENT,3222059015,322205,9015,School-Elementary,4465
-122.299580445812055,47.774637132001445,165,6600710,16158,School-Elementary,Cascade K-8 School,Cascade,2800 NE 200th St,98155,-122.29958147,47.77463541,10,SHORELINE,2636900086,263690,0086,School-Elementary,
-122.367856035844355,47.316909316406758,166,319,2380,School-High,Decatur High School,Decatur,2800 SW 320th St,98023,-122.36785927,47.3169076,10,FEDERAL WAY,1221039034,122103,9034,School-High,3766
-122.183768456550979,47.636056231556047,167,168,144130,School-Elementary,The Little School,The Little,2812 116th Ave NE,98004,-122.18377003,47.63605416,20,BELLEVUE,2125059046,212505,9046,School-Elementary,0
-122.296286011004128,47.552261028454289,168,908,499919,School-Elementary,Dearborn Park International Elementary School,Dearborn Park Intl,2820 S Orcas St,98108,-122.296288,47.55225915,10,SEATTLE,7857000410,785700,0410,School-Elementary,3803
-122.086571207303635,47.344631296446188,169,566,699051,School-Elementary,Grass Lake Elementary School,Grass Lake,28700 191st Pl SE,98042,-122.08657427,47.34462898,10,KENT,3122069056,312206,9056,School-Elementary,3708
-122.171871594903919,47.341982351253002,170,2335,681537,School-High,Auburn Mountainview High School,Mountainview,28900 124th Ave SE,98092,-122.17187468,47.34198023,10,AUBURN,0421059051,042105,9051,School-High,5037
-121.952479173676096,47.735631682095814,171,275,192,School-High,Cedarcrest High School,Cedarcrest,29000 NE 150th St,98019,-121.9524801,47.73562933,10,RIVERVIEW,1826079013,182607,9013,School-High,3524
-122.168019214496539,47.340083836053175,172,6600684,773630,School-Elementary,Arthur Jacobsen Elementary School,Arthur Jacobsen,29205 132nd Ave SE,98092,-122.16802231,47.3400817,10,AUBURN,0421059057,042105,9057,School-Elementary,
-122.220773479587479,47.474399112217434,173,6600377,580032,School-Other Facility,Administration Center-Renton,Admin,300 SW 7th St,98057,-122.22077583,47.4743971,10,RENTON,1823059253,182305,9253,School-Other Facility,0
-122.385270448917908,47.5769740076029,174,1003,470930,School-High,West Seattle High School,West Seattle,3000 California Ave SW,98116,-122.38527233,47.57697226,10,SEATTLE,8702100050,870210,0050,School-High,2234
-122.148941300985854,47.58406923755927,175,191,155119,School-College or University,Bellevue College,Bellevue College,3000 Landerholm Cir SE,98007,-122.14894309,47.58406708,10,BELLEVUE,1024059008,102405,9008,School-College or University,0
-122.176754181617881,47.493913677327811,176,714,580177,School-College or University,Renton Technical College,Renton Tech,3000 NE 4th St,98056,-122.17675641,47.49391155,10,RENTON,7227800450,722780,0450,School-College or University,5955
-122.407826505764348,47.577141047685693,177,987,466948,School-Elementary,Alki Elementary School,Alki,3010 59th Ave SW,98116,-122.40782838,47.57713933,10,SEATTLE,0148000064,014800,0064,School-Elementary,2181
-122.338532734294702,47.325537412239854,178,322,2369,School-Elementary,Lake Grove Elementary School,Lake Grove,303 SW 308th St,98023,-122.33853593,47.32553564,10,FEDERAL WAY,0721049180,072104,9180,School-Elementary,3568
-122.101523198366039,47.637353052906228,179,608,12156,School-Elementary,John James Audubon Elementary School,John James Audubon,3045 180th Ave NE,98052,-122.10152471,47.63735083,10,LAKE WASHINGTON,2425059100,242505,9100,School-Elementary,3548
-122.324609364687291,47.327295643892633,180,102,2367,School-Elementary,St. Vincent De Paul School,St. Vincent De Paul,30527 8th Ave S,98003,-122.32461255,47.32729384,20,FEDERAL WAY,0821049005,082104,9005,School-Elementary,0
-122.313940335862071,47.328077350608098,181,81,2368,School-High,Federal Way High School,Federal Way,30611 16th Ave S,98003,-122.31394351,47.32807553,10,FEDERAL WAY,0821049001,082104,9001,School-High,2417
-122.185548819772833,47.327408391199647,182,63,25,School-Junior High/Middle,Rainier Middle School,Rainier,30620 116th Ave SE,98092,-122.18555199,47.3274063,10,AUBURN,0921059123,092105,9123,School-Junior High/Middle,4385
